hips_x,hips_y,hips_z,hips_w, leftUpperLeg_x, leftUpperLeg_y, leftUpperLeg_z, leftUpperLeg_w, rightUpperLeg_x, rightUpperLeg_y, rightUpperLeg_z, rightUpperLeg_w, leftLowerLeg_x, leftLowerLeg_y, leftLowerLeg_z, leftLowerLeg_w, rightLowerLeg_x, rightLowerLeg_y, rightLowerLeg_z, rightLowerLeg_w, leftFoot_x, leftFoot_y, leftFoot_z, leftFoot_w, rightFoot_x, rightFoot_y, rightFoot_z, rightFoot_w, spine_x, spine_y, spine_z, spine_w, chest_x, chest_y, chest_z, chest_w, neck_x, neck_y, neck_z, neck_w, head_x, head_y, head_z, head_w, leftShoulder_x, leftShoulder_y, leftShoulder_z, leftShoulder_w, rightShoulder_x, rightShoulder_y, rightShoulder_z, rightShoulder_w, leftUpperArm_x, leftUpperArm_y, leftUpperArm_z, leftUpperArm_w, rightUpperArm_x, rightUpperArm_y, rightUpperArm_z, rightUpperArm_w, leftLowerArm_x, leftLowerArm_y, leftLowerArm_z, leftLowerArm_w, rightLowerArm_x, rightLowerArm_y, rightLowerArm_z, rightLowerArm_w, leftHand_x, leftHand_y, leftHand_z, leftHand_w, rightHand_x, rightHand_y, rightHand_z, rightHand_w, leftToes_x, leftToes_y, leftToes_z, leftToes_w, rightToes_x, rightToes_y, rightToes_z, rightToes_w, leftEye_x, leftEye_y, leftEye_z, leftEye_w, rightEye_x, rightEye_y, rightEye_z, rightEye_w,_x,_y,_z,_w, leftThumbProximal_x, leftThumbProximal_y, leftThumbProximal_z, leftThumbProximal_w, leftThumbIntermediate_x, leftThumbIntermediate_y, leftThumbIntermediate_z, leftThumbIntermediate_w, leftThumbDistal_x, leftThumbDistal_y, leftThumbDistal_z, leftThumbDistal_w, leftIndexProximal_x, leftIndexProximal_y, leftIndexProximal_z, leftIndexProximal_w, leftIndexIntermediate_x, leftIndexIntermediate_y, leftIndexIntermediate_z, leftIndexIntermediate_w, leftIndexDistal_x, leftIndexDistal_y, leftIndexDistal_z, leftIndexDistal_w, leftMiddleProximal_x, leftMiddleProximal_y, leftMiddleProximal_z, leftMiddleProximal_w, leftMiddleIntermediate_x, leftMiddleIntermediate_y, leftMiddleIntermediate_z, leftMiddleIntermediate_w, leftMiddleDistal_x, leftMiddleDistal_y, leftMiddleDistal_z, leftMiddleDistal_w, leftRingProximal_x, leftRingProximal_y, leftRingProximal_z, leftRingProximal_w, leftRingIntermediate_x, leftRingIntermediate_y, leftRingIntermediate_z, leftRingIntermediate_w, leftRingDistal_x, leftRingDistal_y, leftRingDistal_z, leftRingDistal_w, leftLittleProximal_x, leftLittleProximal_y, leftLittleProximal_z, leftLittleProximal_w, leftLittleIntermediate_x, leftLittleIntermediate_y, leftLittleIntermediate_z, leftLittleIntermediate_w, leftLittleDistal_x, leftLittleDistal_y, leftLittleDistal_z, leftLittleDistal_w, rightThumbProximal_x, rightThumbProximal_y, rightThumbProximal_z, rightThumbProximal_w, rightThumbIntermediate_x, rightThumbIntermediate_y, rightThumbIntermediate_z, rightThumbIntermediate_w, rightThumbDistal_x, rightThumbDistal_y, rightThumbDistal_z, rightThumbDistal_w, rightIndexProximal_x, rightIndexProximal_y, rightIndexProximal_z, rightIndexProximal_w, rightIndexIntermediate_x, rightIndexIntermediate_y, rightIndexIntermediate_z, rightIndexIntermediate_w, rightIndexDistal_x, rightIndexDistal_y, rightIndexDistal_z, rightIndexDistal_w, rightMiddleProximal_x, rightMiddleProximal_y, rightMiddleProximal_z, rightMiddleProximal_w, rightMiddleIntermediate_x, rightMiddleIntermediate_y, rightMiddleIntermediate_z, rightMiddleIntermediate_w, rightMiddleDistal_x, rightMiddleDistal_y, rightMiddleDistal_z, rightMiddleDistal_w, rightRingProximal_x, rightRingProximal_y, rightRingProximal_z, rightRingProximal_w, rightRingIntermediate_x, rightRingIntermediate_y, rightRingIntermediate_z, rightRingIntermediate_w, rightRingDistal_x, rightRingDistal_y, rightRingDistal_z, rightRingDistal_w, rightLittleProximal_x, rightLittleProximal_y, rightLittleProximal_z, rightLittleProximal_w, rightLittleIntermediate_x, rightLittleIntermediate_y, rightLittleIntermediate_z, rightLittleIntermediate_w, rightLittleDistal_x, rightLittleDistal_y, rightLittleDistal_z, rightLittleDistal_w, upperChest_x, upperChest_y, upperChest_z, upperChest_w
-0.167,-0.002,0,0.986,0.102,0.018,-0.084,0.991,0.121,-0.021,0.109,0.986,0.136,0.004,0.047,0.99,0.036,0,-0.105,0.994,-0.08,-0.053,0.044,0.994,-0.173,0.08,-0.033,0.981,-0.22,0,0.019,-0.975,0,0,0,1,0.077,-0.009,-0.066,-0.995,0.131,-0.038,-0.017,0.991,0,0,0,1,0,0,0,1,-0.057,-0.173,0.567,0.803,-0.137,0.079,-0.563,0.811,-0.153,-0.133,-0.086,-0.975,0.097,-0.229,-0.113,0.962,-0.549,0.137,-0.449,-0.691,-0.657,-0.237,0.448,-0.558,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.18,0.023,0.004,0.983,0.116,0.015,-0.065,0.991,0.113,-0.024,0.129,0.985,0.106,0.005,0.072,0.992,0.04,0,-0.119,0.992,0.015,0.014,0.05,0.999,-0.186,0.061,-0.036,0.98,-0.229,0,-0.022,-0.973,0,0,0,1,0.034,-0.002,-0.012,-0.999,0.119,-0.033,-0.025,0.992,0,0,0,1,0,0,0,1,-0.068,-0.159,0.569,0.804,-0.096,0.128,-0.564,0.81,-0.074,-0.255,-0.116,-0.957,0.045,-0.106,-0.063,0.991,-0.689,0.217,-0.417,-0.551,-0.589,-0.154,0.465,-0.643,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.16,0.012,0.002,0.987,0.105,0.01,-0.029,0.994,0.117,-0.023,0.126,0.985,0.061,0,0.079,0.995,0.025,0.002,-0.064,0.998,-0.172,-0.209,0.002,0.963,-0.144,0.227,-0.004,0.963,0.2,-0.002,0.043,0.979,0,0,0,1,-0.013,0.002,0.013,1,0.132,-0.034,-0.027,0.99,0,0,0,1,0,0,0,1,0.068,0.159,-0.552,-0.816,0.095,-0.109,0.599,-0.787,0.026,-0.264,-0.091,-0.96,0.058,-0.097,-0.062,0.992,-0.672,0.284,-0.371,-0.575,-0.742,-0.164,0.421,-0.494,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.195,-0.003,-0.001,0.981,0.104,0.008,-0.013,0.995,0.182,-0.019,0.134,0.974,0.076,0.002,0.094,0.993,-0.089,0.005,-0.099,0.991,-0.125,-0.411,-0.029,0.903,-0.035,0.378,-0.015,0.925,0.226,-0.001,0.044,0.973,0,0,0,1,-0.009,0.004,0.022,1,0.115,-0.03,-0.023,0.993,0,0,0,1,0,0,0,1,0.066,0.176,-0.532,-0.825,0.092,-0.115,0.601,-0.786,-0.008,-0.206,-0.085,-0.975,0.072,-0.23,-0.107,0.965,-0.554,0.299,-0.401,-0.666,-0.698,-0.241,0.389,-0.55,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.211,0.031,0.007,0.977,0.141,0.014,-0.057,0.988,0.194,-0.016,0.086,0.977,0.062,0.006,0.094,0.994,-0.077,0.003,-0.071,0.994,-0.099,-0.404,-0.016,0.909,-0.015,0.444,-0.018,0.896,0.235,0,0.032,0.971,0,0,0,1,-0.022,0.005,0.025,0.999,0.123,-0.041,-0.015,0.991,0,0,0,1,0,0,0,1,0.059,0.177,-0.561,-0.807,0.161,-0.033,0.628,-0.76,0.015,-0.171,-0.072,-0.982,0.143,-0.412,-0.207,0.876,-0.596,0.253,-0.404,-0.647,-0.623,-0.184,0.312,-0.693,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.205,-0.019,-0.004,0.979,0.143,0.016,-0.069,0.987,0.173,-0.016,0.085,0.981,0.073,0.003,0.054,0.996,-0.016,-0.003,-0.103,0.995,-0.154,-0.222,0.003,0.963,-0.161,0.412,0.047,0.895,0.203,0,-0.006,0.979,0,0,0,1,0.009,0.004,0.022,1,0.128,-0.016,0.01,0.992,0,0,0,1,0,0,0,1,0.053,0.156,-0.595,-0.787,0.105,-0.097,0.599,-0.788,-0.151,-0.133,-0.085,-0.976,0.201,-0.225,-0.139,0.943,-0.587,0.22,-0.387,-0.676,-0.533,-0.288,0.413,-0.681,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.216,-0.032,-0.007,0.976,0.151,0.014,-0.058,0.987,0.197,-0.016,0.089,0.976,0.048,0.004,0.07,0.996,-0.012,-0.004,-0.078,0.997,0,-0.426,0.026,0.904,-0.176,0.283,0.018,0.943,0.21,0,-0.004,0.978,0,0,0,1,-0.009,0,0.003,1,0.122,0.009,0.015,0.992,0,0,0,1,0,0,0,1,0.069,0.147,-0.577,-0.8,0.091,-0.116,0.594,-0.791,-0.221,-0.106,-0.081,-0.966,0.252,-0.08,-0.071,0.962,-0.566,0.183,-0.409,-0.692,-0.464,-0.152,0.472,-0.733,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.231,-0.017,-0.004,0.973,0.17,0.014,-0.058,0.984,0.21,-0.015,0.08,0.974,0.037,0.008,0.095,0.995,-0.074,0.001,-0.074,0.995,-0.101,-0.452,-0.026,0.886,-0.071,0.496,0.018,0.865,0.223,0,0.004,0.975,0,0,0,1,-0.001,0,0.002,1,0.121,0.005,0.002,0.993,0,0,0,1,0,0,0,1,0.085,0.146,-0.548,-0.819,0.085,-0.138,0.566,-0.808,-0.141,-0.221,-0.121,-0.957,0.263,-0.132,-0.101,0.95,-0.683,0.083,-0.422,-0.59,-0.533,-0.153,0.437,-0.708,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.208,0.013,0.003,0.978,0.163,0.014,-0.056,0.985,0.198,-0.015,0.081,0.977,0.049,0.006,0.08,0.996,-0.055,0.001,-0.075,0.996,-0.132,-0.314,-0.011,0.94,-0.087,0.502,0.028,0.86,0.184,0,0.002,0.983,0,0,0,1,-0.003,0.003,0.019,1,0.132,-0.012,-0.025,0.991,0,0,0,1,0,0,0,1,0.109,0.137,-0.441,-0.881,0.126,-0.097,0.479,-0.863,-0.13,-0.366,-0.18,-0.904,0.05,-0.287,-0.12,0.949,-0.513,0.206,-0.386,-0.739,-0.55,-0.208,0.395,-0.706,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.217,-0.001,0,0.976,0.167,0.014,-0.052,0.984,0.203,-0.015,0.08,0.976,0.053,0.01,0.1,0.994,-0.069,0.003,-0.058,0.996,-0.196,-0.398,-0.06,0.894,-0.028,0.486,-0.007,0.874,0.221,0,0.015,0.975,0,0,0,1,-0.045,0.002,0.013,0.999,0.109,-0.007,-0.051,0.993,0,0,0,1,0,0,0,1,0.122,0.111,-0.49,-0.856,0.145,-0.07,0.508,-0.846,-0.233,-0.174,-0.119,-0.949,0.232,-0.114,-0.087,0.962,-0.624,0.187,-0.456,-0.607,-0.638,-0.077,0.4,-0.653,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
